Numero de documentos del corpus: 15904
Word: abetted Frec: 0 LogProb: -13.764656
Word: abey Frec: 2 LogProb: -12.666044
Word: abeyance Frec: 0 LogProb: -13.764656
Word: abf Frec: 2 LogProb: -12.666044
Word: abgegeben Frec: 2 LogProb: -12.666044
Word: abgehoben Frec: 10 LogProb: -11.366761
Word: abgelegenen Frec: 2 LogProb: -12.666044
Word: abgelehnt Frec: 1 LogProb: -13.071509
Word: abgeschlossene Frec: 4 LogProb: -12.155218
Word: abhay Frec: 0 LogProb: -13.764656
Word: abhor Frec: 1 LogProb: -13.071509
Word: abi Frec: 1 LogProb: -13.071509
Word: abibatu Frec: 12 LogProb: -11.199707
Word: abid Frec: 2 LogProb: -12.666044
Word: abide Frec: 0 LogProb: -13.764656
Word: abidjan Frec: 27 LogProb: -10.432451
Word: abie Frec: 2 LogProb: -12.666044
Word: abierta Frec: 0 LogProb: -13.764656
Word: abiertas Frec: 0 LogProb: -13.764656
Word: abies Frec: 1 LogProb: -13.071509
Word: abiiity Frec: 1 LogProb: -13.071509
Word: abil Frec: 0 LogProb: -13.764656
Word: abilene Frec: 1 LogProb: -13.071509
Word: abilities Frec: 118 LogProb: -8.985533
Word: abilitiesauthority Frec: 3 LogProb: -12.378362
Word: ability Frec: 80 LogProb: -9.370207
Word: abilmesi Frec: 1 LogProb: -13.071509
Word: abilty Frec: 0 LogProb: -13.764656
Word: abit Frec: 1 LogProb: -13.071509
Word: abitibi Frec: 0 LogProb: -13.764656
Word: abiword Frec: 0 LogProb: -13.764656
Word: abject Frec: 0 LogProb: -13.764656
Word: abjuring Frec: 1 LogProb: -13.071509
Word: abklaeren Frec: 0 LogProb: -13.764656
Word: abl Frec: 0 LogProb: -13.764656
Word: ablative Frec: 1 LogProb: -13.071509
Word: ablauf Frec: 2 LogProb: -12.666044
Word: ablaufdatum Frec: 1 LogProb: -13.071509
Word: able Frec: 357 LogProb: -7.884123
Word: abler Frec: 0 LogProb: -13.764656
Word: abliged Frec: 0 LogProb: -13.764656
Word: ablins Frec: 1 LogProb: -13.071509
Word: ablx Frec: 0 LogProb: -13.764656
Word: ably Frec: 2 LogProb: -12.666044
Word: abn Frec: 0 LogProb: -13.764656
Word: abnegate Frec: 1 LogProb: -13.071509
Word: abnormal Frec: 6 LogProb: -11.818746
Word: abnormality Frec: 1 LogProb: -13.071509
Word: abnormally Frec: 1 LogProb: -13.071509
Word: abnt Frec: 17 LogProb: -10.874285
Word: aboard Frec: 1 LogProb: -13.071509
Word: aboba Frec: 0 LogProb: -13.764656
Word: abogado Frec: 3 LogProb: -12.378362
Word: abolish Frec: 0 LogProb: -13.764656
Word: abolishfoodtray Frec: 3 LogProb: -12.378362
Word: abolition Frec: 0 LogProb: -13.764656
Word: abondantly Frec: 1 LogProb: -13.071509
Word: abonnement Frec: 1 LogProb: -13.071509
Word: abook Frec: 0 LogProb: -13.764656
Word: aboriginal Frec: 0 LogProb: -13.764656
Word: abormalities Frec: 0 LogProb: -13.764656
Word: abort Frec: 0 LogProb: -13.764656
Word: aborted Frec: 0 LogProb: -13.764656
Word: abortive Frec: 5 LogProb: -11.972897
Word: abou Frec: 1 LogProb: -13.071509
Word: aboubacar Frec: 1 LogProb: -13.071509
Word: aboubaka Frec: 1 LogProb: -13.071509
Word: abound Frec: 0 LogProb: -13.764656
Word: abounds Frec: 0 LogProb: -13.764656
Word: about Frec: 1582 LogProb: -6.397579
Word: abouts Frec: 0 LogProb: -13.764656
Word: aboutthis Frec: 1 LogProb: -13.071509
Word: aboutus Frec: 2 LogProb: -12.666044
Word: aboutvenita Frec: 1 LogProb: -13.071509
Word: above Frec: 305 LogProb: -8.041071
Word: aboveground Frec: 1 LogProb: -13.071509
Word: abovenet Frec: 0 LogProb: -13.764656
Word: abovetelefax Frec: 1 LogProb: -13.071509
Word: abqewvbgf Frec: 1 LogProb: -13.071509
Word: abr Frec: 1 LogProb: -13.071509
Word: abraham Frec: 17 LogProb: -10.874285
Word: abramov Frec: 2 LogProb: -12.666044
Word: abramowicz Frec: 0 LogProb: -13.764656
Word: abrams Frec: 0 LogProb: -13.764656
Word: abrasive Frec: 0 LogProb: -13.764656
Word: abre Frec: 0 LogProb: -13.764656
Word: abreast Frec: 0 LogProb: -13.764656
Word: abree Frec: 2 LogProb: -12.666044
Word: abrend Frec: 2 LogProb: -12.666044
Word: abreo Frec: 0 LogProb: -13.764656
Word: abreviados Frec: 0 LogProb: -13.764656
Word: abrgjigjeni Frec: 1 LogProb: -13.071509
Word: abri Frec: 0 LogProb: -13.764656
Word: abrian Frec: 0 LogProb: -13.764656
Word: abridged Frec: 0 LogProb: -13.764656
Word: abril Frec: 0 LogProb: -13.764656
Word: abrir Frec: 0 LogProb: -13.764656
Word: abrirla Frec: 0 LogProb: -13.764656
Word: abrirle Frec: 1 LogProb: -13.071509
Word: abrirlo Frec: 0 LogProb: -13.764656
Word: abroad Frec: 59 LogProb: -9.670312
Word: abruptly Frec: 2 LogProb: -12.666044
Word: abs Frec: 12 LogProb: -11.199707
Word: abschicken Frec: 7 LogProb: -11.685215
Word: abschlie Frec: 1 LogProb: -13.071509
Word: abschnitt Frec: 1 LogProb: -13.071509
Word: abscissa Frec: 1 LogProb: -13.071509
Word: abscond Frec: 1 LogProb: -13.071509
Word: absconded Frec: 1 LogProb: -13.071509
Word: absconding Frec: 1 LogProb: -13.071509
Word: absconds Frec: 1 LogProb: -13.071509
Word: absence Frec: 6 LogProb: -11.818746
Word: absender Frec: 2 LogProb: -12.666044
Word: absenders Frec: 1 LogProb: -13.071509
Word: absense Frec: 0 LogProb: -13.764656
Word: absent Frec: 0 LogProb: -13.764656
Word: absi Frec: 1 LogProb: -13.071509
Word: absicherung Frec: 1 LogProb: -13.071509
Word: absichtserkl Frec: 1 LogProb: -13.071509
Word: absolute Frec: 33 LogProb: -10.238296
Word: absolutely Frec: 89 LogProb: -9.264847
Word: absolutes Frec: 1 LogProb: -13.071509
Word: absolve Frec: 1 LogProb: -13.071509
Word: absolved Frec: 1 LogProb: -13.071509
Word: absorb Frec: 1 LogProb: -13.071509
Word: absorbableterminus Frec: 1 LogProb: -13.071509
Word: absorbed Frec: 0 LogProb: -13.764656
Word: absorbent Frec: 1 LogProb: -13.071509
Word: absorbing Frec: 1 LogProb: -13.071509
Word: absorbowac Frec: 0 LogProb: -13.764656
Word: absorbs Frec: 0 LogProb: -13.764656
Word: absorption Frec: 2 LogProb: -12.666044
Word: abspielt Frec: 1 LogProb: -13.071509
Word: absprache Frec: 1 LogProb: -13.071509
Word: abstain Frec: 1 LogProb: -13.071509
Word: abstained Frec: 0 LogProb: -13.764656
Word: abstract Frec: 2 LogProb: -12.666044
Word: abstraction Frec: 0 LogProb: -13.764656
Word: abstractive Frec: 1 LogProb: -13.071509
Word: abstractly Frec: 2 LogProb: -12.666044
Word: abstractor Frec: 1 LogProb: -13.071509
Word: abstractors Frec: 1 LogProb: -13.071509
Word: abstracts Frec: 0 LogProb: -13.764656
Word: abstruse Frec: 0 LogProb: -13.764656
Word: absultely Frec: 1 LogProb: -13.071509
Word: absurd Frec: 3 LogProb: -12.378362
Word: abteilungleiter Frec: 1 LogProb: -13.071509
Word: abteilungsleiters Frec: 2 LogProb: -12.666044
Word: abu Frec: 37 LogProb: -10.127069
Word: abubaker Frec: 4 LogProb: -12.155218
Word: abuja Frec: 7 LogProb: -11.685215
Word: abula Frec: 2 LogProb: -12.666044
Word: abundance Frec: 8 LogProb: -11.567431
Word: abundancegroup Frec: 1 LogProb: -13.071509
Word: abundanceplan Frec: 4 LogProb: -12.155218
Word: abundant Frec: 2 LogProb: -12.666044
Word: abundantly Frec: 9 LogProb: -11.462071
Word: abuse Frec: 173 LogProb: -8.605600
Word: abused Frec: 3 LogProb: -12.378362
Word: abusers Frec: 1 LogProb: -13.071509
Word: abusive Frec: 2 LogProb: -12.666044
Word: abutler Frec: 0 LogProb: -13.764656
Word: abutting Frec: 1 LogProb: -13.071509
Word: abw Frec: 0 LogProb: -13.764656
Word: abwickeln Frec: 2 LogProb: -12.666044
Word: aby Frec: 11 LogProb: -11.279750
Word: abyar Frec: 1 LogProb: -13.071509
Word: abyp Frec: 1 LogProb: -13.071509
Word: abyss Frec: 1 LogProb: -13.071509
Word: abyssinia Frec: 1 LogProb: -13.071509
Word: abyste Frec: 1 LogProb: -13.071509
Word: abzur Frec: 1 LogProb: -13.071509
Word: abzurufen Frec: 5 LogProb: -11.972897
Word: abzuwickeln Frec: 2 LogProb: -12.666044
Word: ac Frec: 121 LogProb: -8.960635
Word: aca Frec: 0 LogProb: -13.764656
Word: acaban Frec: 0 LogProb: -13.764656
Word: acabo Frec: 0 LogProb: -13.764656
Word: acacia Frec: 0 LogProb: -13.764656
Word: acad Frec: 1 LogProb: -13.071509
Word: academia Frec: 2 LogProb: -12.666044
Word: academic Frec: 7 LogProb: -11.685215
Word: academica Frec: 0 LogProb: -13.764656
Word: academicaconsult Frec: 2 LogProb: -12.666044
Word: academically Frec: 1 LogProb: -13.071509
Word: academicas Frec: 0 LogProb: -13.764656
Word: academicians Frec: 0 LogProb: -13.764656
Word: academico Frec: 0 LogProb: -13.764656
Word: academicos Frec: 0 LogProb: -13.764656
Word: academicrecommendations Frec: 2 LogProb: -12.666044
Word: academics Frec: 1 LogProb: -13.071509
Word: acadia Frec: 35 LogProb: -10.181137
Word: acadrep Frec: 0 LogProb: -13.764656
Word: acargar Frec: 0 LogProb: -13.764656
Word: acc Frec: 4 LogProb: -12.155218
Word: accapital Frec: 6 LogProb: -11.818746
Word: acccount Frec: 1 LogProb: -13.071509
Word: accder Frec: 0 LogProb: -13.764656
Word: acced Frec: 0 LogProb: -13.764656
Word: acceder Frec: 0 LogProb: -13.764656
Word: accediendo Frec: 30 LogProb: -10.330668
Word: accedo Frec: 0 LogProb: -13.764656
Word: accelerate Frec: 2 LogProb: -12.666044
Word: accelerated Frec: 3 LogProb: -12.378362
Word: accelerates Frec: 1 LogProb: -13.071509
Word: accelerating Frec: 1 LogProb: -13.071509
Word: acceleration Frec: 0 LogProb: -13.764656
Word: accellerate Frec: 0 LogProb: -13.764656
Word: accent Frec: 1 LogProb: -13.071509
Word: accents Frec: 1 LogProb: -13.071509
Word: accentuates Frec: 0 LogProb: -13.764656
Word: accenture Frec: 0 LogProb: -13.764656
Word: accept Frec: 152 LogProb: -8.734219
Word: acceptability Frec: 1 LogProb: -13.071509
Word: acceptable Frec: 27 LogProb: -10.432451
Word: acceptance Frec: 76 LogProb: -9.420851
Word: acceptation Frec: 2 LogProb: -12.666044
Word: accepted Frec: 60 LogProb: -9.653782
Word: accepting Frec: 11 LogProb: -11.279750
Word: acceptinghorrific Frec: 3 LogProb: -12.378362
Word: accepts Frec: 18 LogProb: -10.820217
Word: acces Frec: 0 LogProb: -13.764656
Word: accesibles Frec: 1 LogProb: -13.071509
Word: accesing Frec: 1 LogProb: -13.071509
Word: acceso Frec: 177 LogProb: -8.582872
Word: accesos Frec: 1 LogProb: -13.071509
Word: access Frec: 402 LogProb: -7.765719
Word: accessallure Frec: 2 LogProb: -12.666044
Word: accesscam Frec: 2 LogProb: -12.666044
Word: accessed Frec: 9 LogProb: -11.462071
Word: accessenergy Frec: 0 LogProb: -13.764656
Word: accesses Frec: 1 LogProb: -13.071509
Word: accessibility Frec: 1 LogProb: -13.071509
Word: accessible Frec: 11 LogProb: -11.279750
Word: accessing Frec: 2 LogProb: -12.666044
Word: accession Frec: 1 LogProb: -13.071509
Word: accessories Frec: 20 LogProb: -10.720134
Word: accessorized Frec: 0 LogProb: -13.764656
Word: accessory Frec: 0 LogProb: -13.764656
Word: acci Frec: 0 LogProb: -13.764656
Word: accident Frec: 52 LogProb: -9.794364
Word: accidental Frec: 4 LogProb: -12.155218
Word: accidentally Frec: 6 LogProb: -11.818746
Word: accidente Frec: 0 LogProb: -13.764656
Word: accidently Frec: 2 LogProb: -12.666044
Word: accidents Frec: 14 LogProb: -11.056606
Word: acciones Frec: 0 LogProb: -13.764656
Word: acclaim Frec: 1 LogProb: -13.071509
Word: acclaimed Frec: 1 LogProb: -13.071509
Word: acclimate Frec: 1 LogProb: -13.071509
Word: acclivity Frec: 1 LogProb: -13.071509
Word: acco Frec: 2 LogProb: -12.666044
Word: accommodate Frec: 23 LogProb: -10.586602
Word: accommodated Frec: 1 LogProb: -13.071509
Word: accommodates Frec: 1 LogProb: -13.071509
Word: accommodating Frec: 4 LogProb: -12.155218
Word: accommodation Frec: 1 LogProb: -13.071509
Word: accommodationist Frec: 0 LogProb: -13.764656
Word: accommodations Frec: 3 LogProb: -12.378362
Word: accomodate Frec: 0 LogProb: -13.764656
Word: accomodated Frec: 0 LogProb: -13.764656
Word: accomodates Frec: 0 LogProb: -13.764656
Word: accomodating Frec: 0 LogProb: -13.764656
Word: accomodation Frec: 0 LogProb: -13.764656
Word: accomodations Frec: 3 LogProb: -12.378362
Word: accomodative Frec: 0 LogProb: -13.764656
Word: accompagnateur Frec: 2 LogProb: -12.666044
Word: accompagne Frec: 2 LogProb: -12.666044
Word: accompagnement Frec: 4 LogProb: -12.155218
Word: accompagner Frec: 2 LogProb: -12.666044
Word: accompanied Frec: 5 LogProb: -11.972897
Word: accompanies Frec: 1 LogProb: -13.071509
Word: accompanist Frec: 1 LogProb: -13.071509
Word: accompany Frec: 1 LogProb: -13.071509
Word: accompanying Frec: 1 LogProb: -13.071509
Word: accomplice Frec: 1 LogProb: -13.071509
Word: accomplish Frec: 16 LogProb: -10.931443
Word: accomplished Frec: 5 LogProb: -11.972897
Word: accomplishemnts Frec: 0 LogProb: -13.764656
Word: accomplisher Frec: 1 LogProb: -13.071509
Word: accomplishing Frec: 0 LogProb: -13.764656
Word: accomplishment Frec: 1 LogProb: -13.071509
Word: accomplishments Frec: 5 LogProb: -11.972897
Word: accord Frec: 28 LogProb: -10.397360
Word: accordance Frec: 19 LogProb: -10.768924
Word: accorde Frec: 1 LogProb: -13.071509
Word: accorded Frec: 4 LogProb: -12.155218
Word: accorders Frec: 1 LogProb: -13.071509
Word: according Frec: 105 LogProb: -9.101217
Word: accordingly Frec: 35 LogProb: -10.181137
Word: accords Frec: 0 LogProb: -13.764656
Word: accou Frec: 1 LogProb: -13.071509
Word: accoun Frec: 3 LogProb: -12.378362
Word: account Frec: 1962 LogProb: -6.182427
Word: accountability Frec: 2 LogProb: -12.666044
Word: accountable Frec: 0 LogProb: -13.764656
Word: accountably Frec: 2 LogProb: -12.666044
Word: accountancy Frec: 2 LogProb: -12.666044
Word: accountant Frec: 69 LogProb: -9.516161
Word: accountants Frec: 0 LogProb: -13.764656
Word: accounted Frec: 0 LogProb: -13.764656
Word: accountif Frec: 1 LogProb: -13.071509
Word: accounting Frec: 82 LogProb: -9.345816
Word: accountingtypes Frec: 2 LogProb: -12.666044
Word: accounton Frec: 0 LogProb: -13.764656
Word: accounts Frec: 108 LogProb: -9.073308
Word: accountsecureadmin Frec: 2 LogProb: -12.666044
Word: accountservicing Frec: 2 LogProb: -12.666044
Word: accountupdatebrodcast Frec: 2 LogProb: -12.666044
Word: accountupdatebrodcaster Frec: 11 LogProb: -11.279750
Word: accountverificationes Frec: 10 LogProb: -11.366761
Word: accountverifycenter Frec: 8 LogProb: -11.567431
Word: accountweb Frec: 1 LogProb: -13.071509
Word: accra Frec: 8 LogProb: -11.567431
Word: accreditation Frec: 4 LogProb: -12.155218
Word: accreditations Frec: 1 LogProb: -13.071509
Word: accredited Frec: 166 LogProb: -8.646663
Word: accro Frec: 1 LogProb: -13.071509
Word: accroitre Frec: 1 LogProb: -13.071509
Word: accross Frec: 0 LogProb: -13.764656
Word: accrual Frec: 2 LogProb: -12.666044
Word: accruals Frec: 0 LogProb: -13.764656
Word: accrue Frec: 1 LogProb: -13.071509
Word: accrued Frec: 7 LogProb: -11.685215
Word: accruing Frec: 3 LogProb: -12.378362
Word: acct Frec: 4 LogProb: -12.155218
Word: acculturated Frec: 1 LogProb: -13.071509
Word: acculturating Frec: 1 LogProb: -13.071509
Word: accumuiation Frec: 2 LogProb: -12.666044
Word: accumulate Frec: 4 LogProb: -12.155218
Word: accumulated Frec: 7 LogProb: -11.685215
Word: accumulating Frec: 1 LogProb: -13.071509
Word: accumulation Frec: 3 LogProb: -12.378362
Word: accuracy Frec: 39 LogProb: -10.075777
Word: accurate Frec: 14 LogProb: -11.056606
Word: accurately Frec: 8 LogProb: -11.567431
Word: accuratewear Frec: 2 LogProb: -12.666044
Word: accusation Frec: 0 LogProb: -13.764656
Word: accuse Frec: 0 LogProb: -13.764656
Word: accused Frec: 2 LogProb: -12.666044
Word: accustomed Frec: 1 LogProb: -13.071509
Word: accuweather Frec: 0 LogProb: -13.764656
Word: accuwx Frec: 0 LogProb: -13.764656
Word: ace Frec: 0 LogProb: -13.764656
Word: aceasta Frec: 26 LogProb: -10.468820
Word: acedemica Frec: 0 LogProb: -13.764656
Word: acel Frec: 1 LogProb: -13.071509
Word: acentos Frec: 0 LogProb: -13.764656
Word: acepta Frec: 1 LogProb: -13.071509
Word: aceptaci Frec: 0 LogProb: -13.764656
Word: aceptacion Frec: 0 LogProb: -13.764656
Word: aceptada Frec: 0 LogProb: -13.764656
Word: aceptadas Frec: 0 LogProb: -13.764656
Word: aceptado Frec: 0 LogProb: -13.764656
Word: aceptan Frec: 0 LogProb: -13.764656
Word: aceptando Frec: 0 LogProb: -13.764656
Word: aceptar Frec: 0 LogProb: -13.764656
Word: aceptaron Frec: 0 LogProb: -13.764656
Word: acepte Frec: 1 LogProb: -13.071509
Word: acepten Frec: 0 LogProb: -13.764656
Word: acepto Frec: 0 LogProb: -13.764656
Word: acerbic Frec: 0 LogProb: -13.764656
Word: acerc Frec: 0 LogProb: -13.764656
Word: acerca Frec: 0 LogProb: -13.764656
Word: acercandote Frec: 0 LogProb: -13.764656
Word: acercar Frec: 0 LogProb: -13.764656
Word: acercarlo Frec: 0 LogProb: -13.764656
Word: acercarme Frec: 0 LogProb: -13.764656
Word: acercarte Frec: 0 LogProb: -13.764656
Word: acercas Frec: 0 LogProb: -13.764656
Word: acercaste Frec: 0 LogProb: -13.764656
Word: acercate Frec: 0 LogProb: -13.764656
Word: acerco Frec: 0 LogProb: -13.764656
Word: acerqu Frec: 0 LogProb: -13.764656
Word: acerque Frec: 0 LogProb: -13.764656
Word: acessar Frec: 4 LogProb: -12.155218
Word: acesse Frec: 2 LogProb: -12.666044
Word: acesso Frec: 29 LogProb: -10.363459
Word: acessos Frec: 1 LogProb: -13.071509
Word: acetrakit Frec: 1 LogProb: -13.071509
Word: acetylene Frec: 2 LogProb: -12.666044
Word: aceuticai Frec: 1 LogProb: -13.071509
Word: acf Frec: 2 LogProb: -12.666044
Word: ach Frec: 3 LogProb: -12.378362
Word: acheive Frec: 1 LogProb: -13.071509
Word: aches Frec: 1 LogProb: -13.071509
Word: achie Frec: 1 LogProb: -13.071509
Word: achievable Frec: 0 LogProb: -13.764656
Word: achieve Frec: 196 LogProb: -8.481452
Word: achieved Frec: 17 LogProb: -10.874285
Word: achievement Frec: 10 LogProb: -11.366761
Word: achievements Frec: 124 LogProb: -8.936342
Word: achiever Frec: 1 LogProb: -13.071509
Word: achieves Frec: 1 LogProb: -13.071509
Word: achieving Frec: 14 LogProb: -11.056606
Word: aching Frec: 4 LogProb: -12.155218
Word: achis Frec: 2 LogProb: -12.666044
Word: acho Frec: 2 LogProb: -12.666044
Word: acht Frec: 1 LogProb: -13.071509
Word: achterge Frec: 7 LogProb: -11.685215
Word: achtergelaten Frec: 1 LogProb: -13.071509
Word: achternaam Frec: 5 LogProb: -11.972897
Word: achthund Frec: 2 LogProb: -12.666044
Word: achthunderttausend Frec: 6 LogProb: -11.818746
Word: achtung Frec: 5 LogProb: -11.972897
Word: achy Frec: 10 LogProb: -11.366761
Word: aci Frec: 2 LogProb: -12.666044
Word: acid Frec: 2 LogProb: -12.666044
Word: acidic Frec: 1 LogProb: -13.071509
Word: acima Frec: 2 LogProb: -12.666044
Word: acitivities Frec: 0 LogProb: -13.764656
Word: acjewkoe Frec: 1 LogProb: -13.071509
Word: acjewkoewlvewdj Frec: 1 LogProb: -13.071509
Word: ack Frec: 11 LogProb: -11.279750
Word: ackno Frec: 1 LogProb: -13.071509
Word: acknowledge Frec: 33 LogProb: -10.238296
Word: acknowledged Frec: 4 LogProb: -12.155218
Word: acknowledgement Frec: 9 LogProb: -11.462071
Word: acknowledgements Frec: 0 LogProb: -13.764656
Word: acknowledges Frec: 2 LogProb: -12.666044
Word: acknowledging Frec: 2 LogProb: -12.666044
Word: acknowledgment Frec: 6 LogProb: -11.818746
Word: acl Frec: 6 LogProb: -11.818746
Word: aclarando Frec: 0 LogProb: -13.764656
Word: aclarar Frec: 0 LogProb: -13.764656
Word: aclararme Frec: 0 LogProb: -13.764656
Word: aclaro Frec: 0 LogProb: -13.764656
Word: aclipisa Frec: 6 LogProb: -11.818746
Word: aclocal Frec: 0 LogProb: -13.764656
Word: acm Frec: 0 LogProb: -13.764656
Word: acmarket Frec: 6 LogProb: -11.818746
Word: acme Frec: 0 LogProb: -13.764656
Word: acmey Frec: 4 LogProb: -12.155218
Word: acmiconnect Frec: 2 LogProb: -12.666044
Word: acn Frec: 5 LogProb: -11.972897
Word: acne Frec: 2 LogProb: -12.666044
Word: aco Frec: 0 LogProb: -13.764656
Word: acoh Frec: 1 LogProb: -13.071509
Word: acomodar Frec: 0 LogProb: -13.764656
Word: acomode Frec: 0 LogProb: -13.764656
Word: acondicionadores Frec: 1 LogProb: -13.071509
Word: aconsejamos Frec: 9 LogProb: -11.462071
Word: aconsejan Frec: 2 LogProb: -12.666044
Word: aconselho Frec: 1 LogProb: -13.071509
Word: acoplamentos Frec: 1 LogProb: -13.071509
Word: acordaba Frec: 0 LogProb: -13.764656
Word: acosta Frec: 0 LogProb: -13.764656
Word: acpw Frec: 0 LogProb: -13.764656
Word: acqoafpemyhe Frec: 1 LogProb: -13.071509
Word: acqowkoow Frec: 1 LogProb: -13.071509
Word: acquaint Frec: 2 LogProb: -12.666044
Word: acquaintance Frec: 8 LogProb: -11.567431
Word: acquaintances Frec: 4 LogProb: -12.155218
Word: acquainted Frec: 1 LogProb: -13.071509
Word: acquiesced Frec: 1 LogProb: -13.071509
Word: acquiescence Frec: 0 LogProb: -13.764656
Word: acquiescent Frec: 1 LogProb: -13.071509
Word: acquirable Frec: 1 LogProb: -13.071509
